# NOS Active station ID|Name|URN|Lat|Lon
9437540|Garibaldi, OR|urn:ioos:station:NOAA.NOS.CO-OPS:9437540|45.5545|-123.9189
9439040|Astoria, OR|urn:ioos:station:NOAA.NOS.CO-OPS:9439040|46.2073|-123.7683
9439099|Wauna, OR|urn:ioos:station:NOAA.NOS.CO-OPS:9439099|46.16|-123.405
9439201|St Helens, OR|urn:ioos:station:NOAA.NOS.CO-OPS:9439201|45.865|-122.797
9440083|Vancouver, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9440083|45.6317|-122.697
9440422|Longview, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9440422|46.1061|-122.9542
9440569|Skamokawa, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9440569|46.2667|-123.452
9440910|Toke Point, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9440910|46.7075|-123.9669
9441102|Westport, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9441102|46.9043|-124.1051
9442396|La Push, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9442396|47.9133|-124.637
9443090|Neah Bay, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9443090|48.3667|-124.6117
9444090|Port Angeles, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9444090|48.125|-123.44
9444900|Port Townsend, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9444900|48.1117|-122.758
9446484|Tacoma, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9446484|47.2667|-122.4133
9447130|Seattle, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9447130|47.6026|-122.3393
9449424|Cherry Point, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9449424|48.8633|-122.758
9449880|Friday Harbor, WA|urn:ioos:station:NOAA.NOS.CO-OPS:9449880|48.5467|-123.01
9450460|Ketchikan, AK|urn:ioos:station:NOAA.NOS.CO-OPS:9450460|55.3318|-131.6262
9451054|Port Alexander, AK|urn:ioos:station:NOAA.NOS.CO-OPS:9451054|56.2467|-134.647
9451600|Sitka, AK|urn:ioos:station:NOAA.NOS.CO-OPS:9451600|57.0517|-135.342
9452210|Juneau, AK|urn:ioos:station:NOAA.NOS.CO-OPS:9452210|58.2983|-134.412
9452400|Skagway, AK|urn:ioos:station:NOAA.NOS.CO-OPS:9452400|59.45|-135.327
9452634|Elfin Cove, AK|urn:ioos:station:NOAA.NOS.CO-OPS:9452634|58.1947|-136.3469
